"Data Source","World Development Indicators",

"Last Updated Date","2023-07-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Bulgaria","BGR","Poverty gap at $6.85 a day (2017 PPP) (%)","SI.POV.UMIC.GP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.6","5.3","3.9","3.7","5","5.5","5.4","5.4","4.2","6.1","4.5","3.6","2.8","2.8","1.6","","",
"Bahrain","BHR","Poverty gap at $6.85 a day (2017 PPP) (%)","SI.POV.UMIC.GP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bahamas, The","BHS","Poverty gap at $6.85 a day (2017 PPP) (%)","SI.POV.UMIC.GP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Poverty gap at $6.85 a day (2017 PPP) (%)","SI.POV.UMIC.GP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.1","","","1.5","","","1","","","","1.4","","","","","","","","","","","",
"Belarus","BLR","Poverty gap at $6.85 a day (2017 PPP) (%)","SI.POV.UMIC.GP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.8","43.6","38.9","28.9","24.6","22.4","16","10.2","7.2","5","3.8","3.5","2.5","2","1","0.6","0.5","0.7","0.8","0.6","0.4","0.3","0.2","","",
"Belize","BLZ","Poverty gap at $6.85 a day (2017 PPP) (%)","SI.POV.UMIC.GP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30","31.4","","35.5","37.1","36.3","34.6","","","","","","","","","","","","","","","","","","","","","","","",
"Bermuda","BMU","Poverty gap at $6.85 a day (2017 PPP) (%)","SI.POV.UMIC.GP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Poverty gap at $6.85 a day (2017 PPP) (%)","SI.POV.UMIC.GP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24","","29.3","32.7","27.6","29.1","","20.6","24","21","18.9","15.1","13.5","","10.2","10.9","9.4","8.7","8.8","9.8","9.1","7.8","5.8","6.6","5.4","",
"Brazil","BRA","Poverty gap at $6.85 a day (2017 PPP) (%)","SI.POV.UMIC.GP","","","","","","","","","","","","","","","","","","","","","","36.8","36.8","42.4","42","38.2","23.8","31.7","33.8","31.7","35.7","","35.6","34.6","","26.3","26.8","27","25.7","26.7","","23.6","22.8","23.6","22.3","20.8","18.4","17.3","15.3","14.4","","12.4","11.2","10","9.2","9.9","11","11.2","11.1","11","6.3","11.7","",
"Barbados","BRB","Poverty gap at $6.85 a day (2017 PPP) (%)","SI.POV.UMIC.GP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brunei Darussalam","BRN","Poverty gap at $6.85 a day (2017 PPP) (%)","SI.POV.UMIC.GP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bhutan","BTN","Poverty gap at $6.85 a day (2017 PPP) (%)","SI.POV.UMIC.GP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35","","","","25.4","","","","","14.9","","","","","12.6","","","","","",
"Botswana","BWA","Poverty gap at $6.85 a day (2017 PPP) (%)","SI.POV.UMIC.GP","","","","","","","","","","","","","","","","","","","","","","","","","","52.4","","","","","","","","46.2","","","","","","","","","40.8","","","","","","","31","","","","","","31.8","","","","","","","",
"Central African Republic","CAF","Poverty gap at $6.85 a day (2017 PPP) (%)","SI.POV.UMIC.GP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81","","","","","","","","","","","","","","","","66.4","","","","","","","","","","","","","","",
"Canada","CAN","Poverty gap at $6.85 a day (2017 PPP) (%)","SI.POV.UMIC.GP","","","","","","","","","","","","3","","","","1.4","","","","","","0.7","","","","","","0.4","","","","0.3","","","0.4","","0.5","0.5","0.6","0.6","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.3","0.4","0.3","0.3","0.3","0.4","0.5","0.4","0.5","0.4","0.4","0.4","","","","",
"Central Europe and the Baltics","CEB","Poverty gap at $6.85 a day (2017 PPP) (%)","SI.POV.UMIC.GP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Poverty gap at $6.85 a day (2017 PPP) (%)","SI.POV.UMIC.GP","","","","","","","","","","","","","","","","","","","","","","","0.7","","","","","","","","","","0.7","","","","","","","","0.2","","0","","","","0.2","0.1","0.1","0.1","0.1","0","0","0","0.1","0","0.1","0","0.1","","","","",
"Channel Islands","CHI","Poverty gap at $6.85 a day (2017 PPP) (%)","SI.POV.UMIC.GP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Poverty gap at $6.85 a day (2017 PPP) (%)","SI.POV.UMIC.GP","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.6","","","25.7","","21.1","","19.8","","16.4","","15.3","","16.6","","","16","","","9.8","","","7.8","","6.1","","3.4","","2.6","","1.9","","","2.4","","",
"China","CHN","Poverty gap at $6.85 a day (2017 PPP) (%)","SI.POV.UMIC.GP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72.8","","","68.6","","","61.1","","","58.5","","","51","","","40.8","","","34.3","","29.3","25.9","22.9","17.1","14.5","12.2","10.5","9.7","8","6.4","","","",
"Cote d'Ivoire","CIV","Poverty gap at $6.85 a day (2017 PPP) (%)","SI.POV.UMIC.GP","","","","","","","","","","","","","","","","","","","","","","","","","","23.4","24.3","29.3","36.1","","","","46","","","46.1","","","50.2","","","","49.4","","","","","","51","","","","","","","51","","","34.4","","","","",
"Cameroon","CMR","Poverty gap at $6.85 a day (2017 PPP) (%)","SI.POV.UMIC.GP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59.2","","","","","45.4","","","","","","47.5","","","","","","","39.9","","","","","","","","",
"Congo, Dem. Rep.","COD","Poverty gap at $6.85 a day (2017 PPP) (%)","SI.POV.UMIC.GP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85.5","","","","","","","","71.7","","","","","","","","","","",
"Congo, Rep.","COG","Poverty gap at $6.85 a day (2017 PPP) (%)","SI.POV.UMIC.GP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.8","","","","","","49.2","","","","","","","","","","","",
"Colombia","COL","Poverty gap at $6.85 a day (2017 PPP) (%)","SI.POV.UMIC.GP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.2","","","","31.6","","","34.7","31.3","35.8","27.8","27.1","26.5","24","","","22.5","21.2","19.4","17.5","16.7","15.6","14.4","13.7","13.5","13","13.1","14","19","16.2","",
"Comoros","COM","Poverty gap at $6.85 a day (2017 PPP) (%)","SI.POV.UMIC.GP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.8","","","","","","","","","","35","","","","","","","","",
"Cabo Verde","CPV","Poverty gap at $6.85 a day (2017 PPP) (%)","SI.POV.UMIC.GP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36","","","","","","27.8","","","","","","","","19.7","","","","","","","",
