"Data Source","World Development Indicators",

"Last Updated Date","2023-07-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Burundi","BDI","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.82","13.35","3.81","6.1","1.65","3.58","0.93","4.42","5.02","4.3","5.63","4.48","2.54","3.33","12.37","10.02","10.65","14.28","12.41","12.5","11.72","13.19","20.58","24.12","33.27","","",
"Belgium","BEL","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8826.61","9009.03","9409.54","9244.92","9593.02","9951.02","10242.87","10826.98","11463.48","12642.34","12916.17","13561.83","14232.84","14702.07","14984.64","15533.91","16204.15","16428.55","16694.78","16448.59","16513.99","16037.22","16172.65","16218.32","17015.55","","",
"Benin","BEN","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.51","45.95","40.3","42.5","45.48","42.87","44.73","46.42","58.84","60.94","72.67","93.97","93.43","117.13","105.59","127.92","143.3","178.71","179.98","179.25","171.36","205.58","229.56","264.53","290.5","","",
"Burkina Faso","BFA","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.72","52.2","84.78","61.62","48.5","63.92","71.81","76.54","70.98","72.52","99.37","105.16","119.4","129.96","124.71","150.19","189","164.88","169.34","189.65","203.55","205.5","244.18","250.26","246.26","","",
"Bangladesh","BGD","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","368.49","396.28","389.76","407.26","444.19","434.28","420.78","566.83","527.3","587.03","726.06","861.73","1054.16","1163.91","1426.83","1385.91","1913.43","1786.71","2227.1","2150.99","2567.09","3059.56","3039.88","5012.04","4927.32","","",
"Bulgaria","BGR","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1909.71","1753.32","1764.7","1800.04","1676.87","1657.78","1680.94","1706.37","1841.32","2029.68","1917.22","2465.08","2342.77","2679.13","2576.55","2436.75","2632.57","2654.65","2627.73","2523.38","2494.79","2898.18","3287.76","4051.05","4118.23","","",
"Bahrain","BHR","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92.81","71.24","90.92","89.99","85.53","83.76","71","127.15","142.48","162.53","181.09","175.91","160.23","187.38","206.42","179.59","157.6","235.41","208.62","175.81","222.28","237.99","334.45","391.41","492.66","","",
"Bahamas, The","BHS","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.9","3.08","4.1","2.7","1.7","5.19","5.13","3.66","3.03","7.37","6.12","11.14","6.05","9.83","9.2","10.78","8.01","18.89","15.89","12.15","13.91","20.78","20.64","19.68","22.73","","",
"Bosnia and Herzegovina","BIH","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.17","43.07","42.43","107.02","76.59","68.64","113.91","152.74","207.84","254.37","298.46","324.7","401.13","457.25","493.6","548.44","548.95","490.08","487.68","566.59","557.79","723.36","723.95","767.5","932.51","","",
"Belarus","BLR","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1285.54","1352.75","1312.38","1133.6","1203.02","1330.16","1325.49","1268.25","1268.85","1329.79","1200.6","1300.85","1059.23","1156.45","1050.5","1082.13","1038.01","1093.63","1052.95","974","989.55","1067.67","1195.57","1341.81","1352.11","","",
"Belize","BLZ","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.96","3.28","3.95","2.23","0.62","2","1.91","4.76","4.92","5.83","4.83","2.23","3.64","8.51","10.82","2.26","8.28","7.81","5.16","7.64","5.72","11.38","9.74","10.89","14","","",
