,Year,"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)","Inflation, consumer prices (annual %)",GDP (current US$),"Cause of death, by injury (% of total)","Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)","Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)","Population, total","Unemployment, total (% of total labor force) (modeled ILO estimate)","Hospital beds (per 1,000 people)","Life expectancy at birth, total (years)","Physicians (per 1,000 people)",Country Name,Gini index,Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population),Poverty headcount ratio at $6.85 a day (2017 PPP) (% of population),Poverty gap at $2.15 a day (2017 PPP) (%),Poverty gap at $3.65 a day (2017 PPP) (%),Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),Poverty gap at $6.85 a day (2017 PPP) (%),GDP per capita
13320,2010,35.01635233561196,0.0842099984486898,8.12667639169919,115279077465.226,7.59040285131126,1.7913566430409766,5.957240104675293,148391139.0,3.38,0.6,68.638,0.3635,Bangladesh,32.1,59.3,89.4,3.2,18.3,18.2,46.5,776.8595769402781
13381,2010,99.8078689575195,0.916410028934479,2.49265472467065,2491397494467.95,3.34052925512224,8.57874011993408,33.7010917663574,62766365.0,7.79,2.93,80.4024390243902,2.6265,United Kingdom,33.7,0.5,0.7,0.2,0.3,0.2,0.4,39693.19387012375
13382,2010,95.5943069458008,0.234569996595383,7.11017897486098,12243219360.2985,4.72123913842452,27.3010005950928,30.1727104187012,3786695.0,20.2,2.99,72.128,4.4466,Georgia,39.5,35.7,70.6,4.4,12.8,14.4,32.6,3233.220357144819
13401,2010,97.9304733276367,0.502839982509613,4.85555795691951,132175349953.713,5.51193618971543,7.5486102104187,18.9934902191162,10000023.0,11.17,7.18,74.2073170731707,2.8896,Hungary,29.4,0.3,5.4,0.0,0.1,0.1,1.0,13217.504595110731
13411,2010,81.0681991577148,0.792490005493164,-0.922095829024469,221913560882.372,5.05501740113206,9.20796012878418,30.182824134826703,4560155.0,14.53,2.73,80.7439024390244,4.1326,Ireland,32.3,0.9,1.7,0.4,0.5,0.5,0.9,48663.60044392614
13415,2010,85.1100463867188,1.43874001502991,2.69137006338374,238364092298.023,5.22801580232753,12.0860500335693,43.2506294250488,7623600.0,8.48,3.16,81.6024390243903,3.5107,Israel,42.5,1.2,7.2,0.1,0.3,0.2,1.9,31266.605317438352
13422,2010,95.6928405761719,0.03192999958992,7.96772225579691,4794361821.20611,10.1500550943121,15.4475898742676,17.6226501464844,5447900.0,2.834,4.76,69.3,2.3394,Kyrgyz Republic,30.1,21.4,70.5,1.0,5.2,3.5,25.3,880.0385141441858
13426,2010,82.9011688232422,0.578840017318726,2.93928652655687,1144066965324.49,12.7241226603015,3.54324007034302,35.3209915161133,49554112.0,3.32,8.74,80.1170731707317,1.9839,"Korea, Rep.",32.0,0.7,2.2,0.2,0.4,0.5,0.9,23087.225643847476
13450,2010,93.7892074584961,0.063740000128746,7.48385086350855,6974982391.40094,8.00622148250186,0.56878000497818,31.6732807159424,2862354.0,7.45,6.18,69.357,2.3808,Moldova,32.1,4.5,30.1,0.1,0.8,0.4,7.8,2436.7993586401053
13454,2010,53.0869216918945,0.142680004239082,4.15672722680176,1057800597973.65,12.3581068270841,1.31121003627777,14.4238395690918,112532401.0,5.3,1.05,74.19,1.9986,Mexico,47.2,12.8,38.1,1.6,4.3,4.5,14.1,9399.964708596683
13459,2010,68.1339416503906,0.269030004739761,1.51563513618533,9035819656.6669,3.47210436141757,4.2361102104187,12.2244396209717,414508.0,6.85,4.52,81.3975609756098,2.153,Malta,29.0,0.3,0.5,0.1,0.2,0.2,0.3,21798.902932312285
13476,2010,89.5227966308594,0.554610013961792,1.27530569556686,847380859016.688,4.19336980345435,10.0669403076172,28.8166904449463,16615394.0,4.99,4.05,80.7024390243902,2.9516,Netherlands,27.8,0.1,0.2,0.0,0.0,0.0,0.1,50999.74511688907
13484,2010,33.3851013183594,0.4762350022792815,12.938870563489,177165547828.889,7.76796887644358,1.6833649873733552,6.97446012496948,194454498.0,0.65,0.6,64.436,0.8076,Pakistan,28.8,52.4,90.4,1.3,13.5,9.4,43.1,911.0899961228411
13485,2010,61.490291595459,0.255290001630783,3.49128867487524,29440287600.0,12.3599771881362,2.37209010124207,21.3589096069336,3623617.0,5.875,2.3,76.448,1.4058,Panama,51.6,9.1,21.7,1.0,3.2,3.4,9.0,8124.558307348707
13490,2010,80.9015502929688,0.53396999835968,2.58069370250546,475696613935.595,6.03720414903758,17.9176807403564,20.3092098236084,38042794.0,9.64,6.61,76.2463414634146,2.1707,Poland,33.2,1.1,4.1,0.1,0.4,0.3,1.3,12504.250185609264
13495,2010,39.60493774414062,0.11991499736905079,4.6511627906977,27129301048.0505,12.6445081776989,5.85250997543335,10.689363861083999,5768613.0,4.57,1.3,71.887,1.2774,Paraguay,51.0,13.5,34.1,1.7,4.9,5.5,13.7,4702.915769882726
13503,2010,12.1764698028564,0.033610001206398,-0.246128693436925,6124693374.47064,10.9953026937433,0.241610005497932,3.62481999397278,10309031.0,11.895,1.6,62.54,0.055,Rwanda,47.2,82.3,93.4,22.8,43.4,59.2,64.9,594.1095117931685
13511,2010,41.6939582824707,0.0388000011444092,1.17933576873676,18447920000.0,20.4477010132172,0.263790011405945,6.78207015991211,6114034.0,4.89,1.0,71.848,1.8823,El Salvador,43.5,19.9,49.1,1.6,6.2,6.3,19.6,3017.3073947577
13521,2010,99.29273223876956,1.06246995925903,0.957018132975136,91162836320.3524,5.30436121699577,16.503719329834,18.566336313883465,5391428.0,14.38,6.46,75.1121951219512,3.351,Slovak Republic,27.3,1.2,3.4,0.3,0.5,0.5,1.2,16908.84795648804
13523,2010,87.0703430175781,1.15891003608704,1.15798802715629,495812558843.31,4.82245509216902,10.3831796646118,28.6425704956055,9378126.0,8.61,2.73,81.4512195121951,3.8033,Sweden,27.7,0.8,1.3,0.4,0.5,0.5,0.8,52869.04428915862
13544,2010,46.585880279541,0.343560010194778,8.56644420552977,776967457763.602,5.10500743782608,1.5528199672699,11.5272998809814,73195345.0,10.66,2.74,75.069,1.7068,Turkiye,38.8,4.4,18.2,0.1,1.0,0.8,5.7,10614.984569901297
13550,2010,49.4982109069824,0.0611100010573864,6.69870886978135,41950361211.9581,6.70522188765526,1.40601003170013,9.40847015380859,3352651.0,7.16,1.2,76.858,3.951,Uruguay,44.5,1.6,12.0,0.1,0.3,0.2,3.1,12512.59412684413
13580,2011,99.5548477172852,0.839569985866547,3.28657914875376,431685217367.514,5.43325113185383,10.4381103515625,17.5109405517578,8391643.0,4.56,7.68,80.9829268292683,4.8398,Austria,30.8,0.6,1.0,0.3,0.4,0.4,0.6,51442.27624644113
13583,2011,80.1013717651367,0.51452998816967,3.53208210722744,523330354138.137,6.22276976538698,12.9355301856995,29.8061504364014,11038264.0,7.14,6.05,80.5853658536585,2.9219,Belgium,28.1,0.3,0.6,0.1,0.1,0.2,0.2,47410.5669277467
13594,2011,47.825538635253906,0.286500006914139,9.88446419823887,23963162969.3832,9.36407931995113,1.79473996162415,22.445650100707997,10396246.0,2.25,1.07,66.534,0.4671,Bolivia,46.1,10.4,23.5,2.2,4.5,5.3,10.2,2304.982295473116
13603,2011,96.054557800293,2.97441005706787,0.231349207650894,715888126682.396,5.67378141368627,18.1987590789795,31.0276508331299,7912398.0,4.41,5.05,82.6951219512195,3.8355,Switzerland,31.7,0.0,0.1,0.0,0.0,0.0,0.0,90476.75896515771
13619,2011,77.2228317260742,0.5760349929332735,3.28944939564212,27641551809.0956,5.72467463654588,9.50104999542236,29.8630294799805,1145086.0,7.86,3.51,79.999,2.2484,Cyprus,32.6,0.0,0.2,0.0,0.0,0.0,0.0,24139.280201745198
13620,2011,99.8156204223633,0.504239976406097,1.91721913635547,229562733398.948,5.51107577546436,14.7503499984741,16.5229301452637,10496088.0,6.71,7.06,77.8731707317073,3.6125,Czechia,26.4,0.1,0.8,0.0,0.0,0.0,0.2,21871.26607541286
13621,2011,96.713623046875,1.26112997531891,2.07517283735872,3749314991050.62,3.86786151573768,10.7488899230957,25.0429401397705,80274983.0,5.82,8.38,80.4365853658537,3.8491,Germany,30.7,0.0,0.2,0.0,0.0,0.0,0.1,46705.8957963357
13643,2011,79.8137283325195,0.712890028953552,2.11159795174997,2865157541994.19,6.93911343109398,8.35151958465576,25.1153106689453,65345233.0,8.81,6.36,82.1146341463415,3.1491,France,33.3,0.1,0.2,0.0,0.0,0.0,0.1,43846.46607648013
13647,2011,99.8556365966797,0.9003350138664246,3.85611244682819,2666403005061.42,3.34052925512224,8.68155527114868,33.0590400695801,63258810.0,8.04,2.88,80.9512195121951,2.6603,United Kingdom,33.2,0.5,0.7,0.2,0.2,0.2,0.4,42150.698140882196
13648,2011,96.1514778137207,0.268075004220009,8.54293333333334,15107482383.3798,4.72123913842452,27.3614950180054,30.52727031707765,3756441.0,19.63,2.81,72.39,4.5004,Georgia,39.6,33.3,69.0,4.3,12.0,13.4,31.3,4021.7542038806946
13655,2011,64.2316576639811,0.540329992771149,3.3298532335065,282995942006.559,2.99104425645348,2.40397000312805,20.76022974650063,11104899.0,17.86,4.47,80.7317073170732,5.9234,Greece,34.8,2.0,5.2,0.9,1.1,1.1,2.2,25483.882564493295
13667,2011,98.2056579589844,0.5810399949550631,3.92992098935075,141942264554.475,5.51193618971543,8.01420998573303,20.026969909668,9971727.0,11.03,7.19,74.8585365853659,2.9811,Hungary,29.2,0.3,5.8,0.0,0.1,0.1,1.2,14234.471576936974
13677,2011,83.4697036743164,0.792490005493164,2.5571888318692,239003132208.134,5.05501740113206,9.20796012878418,31.8034992218018,4580084.0,15.35,2.62,80.7463414634146,4.0938,Ireland,32.9,0.9,1.4,0.4,0.5,0.5,0.8,52183.132931215674
13681,2011,85.7394104003906,1.423789978027345,3.48494919760705,266791854430.897,5.22801580232753,12.33315515518185,44.0789909362793,7765800.0,7.14,3.14,81.6560975609756,3.5123,Israel,41.4,1.5,7.0,0.2,0.3,0.2,2.0,34354.71611822311
