,Country Name,Year,"EA, at least completed lower secondary","EA, Doctoral or equivalent",Poverty headcount ratio at $3.65,Inflation,Poverty headcount ratio at $6.85,Gini index,GDP (current US$),Poverty gap at $2.15,Poverty gap at $3.65,"COD, by injury","EA, at least Master's or equivalent",Poverty headcount ratio at $2.15,"EA, at least completed short-cycle tertiary","Population, total",Population ages 65 and above (% of total population),"COD, by non-communicable diseases",Unemployment,Poverty gap at $6.85,"Hospital beds (per 1,000 people)",Life expectancy,"Physicians (per 1,000 people)","EA, at least completed primary"
13156,Kyrgyz Republic,2009,95.6928405761719,0.03192999958992,18.7,6.83656248105363,67.6,29.9,4690061344.16421,0.3,3.6,10.1500550943121,15.4475898742676,1.5,17.6226501464844,5383300.0,4.49736197344519,76.9412100012404,2.788,23.2,4.83,69.1024390243903,2.3409,97.9721069335938
13219,Panama,2009,61.490291595459,0.255290001630783,8.0,2.40905316669705,23.0,51.8,27116635600.0,0.6,2.4,12.3599771881362,2.37209010124207,2.5,21.3589096069336,3559343.0,6.29885997203135,69.8754188149835,6.011,8.5,2.3,76.343,1.3092,82.6293563842773
13320,Bangladesh,2010,35.2979698181152,0.0795499980449677,59.3,8.12667639169919,89.4,32.1,115279077465.226,3.2,18.3,7.59040285131126,1.6816999912262,18.2,5.97435998916626,148391139.0,4.44682244656528,59.4311989454775,3.38,46.5,0.6,68.638,0.3635,48.8796615600586
13422,Kyrgyz Republic,2010,95.6928405761719,0.03192999958992,21.4,7.96772225579691,70.5,30.1,4794361821.20611,1.0,5.2,10.1500550943121,15.4475898742676,3.5,17.6226501464844,5447900.0,4.21247301584639,76.9412100012404,2.834,25.3,4.76,69.3,2.3394,97.9721069335938
13426,"Korea, Rep.",2010,82.9011688232422,0.578840017318726,0.7,2.93928652655687,2.2,32.0,1144066965324.49,0.2,0.4,12.7241226603015,3.54324007034302,0.5,35.3209915161133,49554112.0,11.0460909197177,80.1622548279412,3.32,0.9,8.74,80.1170731707317,1.9839,94.3045272827148
13454,Mexico,2010,53.0869216918945,0.142680004239082,12.8,4.15672722680176,38.1,47.2,1057800597973.65,1.6,4.3,12.3581068270841,1.31121003627777,4.5,14.4238395690918,112532401.0,6.16936719482848,76.0637841319078,5.3,14.1,1.05,74.19,1.9986,74.7418975830078
13485,Panama,2010,61.490291595459,0.255290001630783,9.1,3.49128867487524,21.7,51.6,29440287600.0,1.0,3.2,12.3599771881362,2.37209010124207,3.4,21.3589096069336,3623617.0,6.45949800165166,69.8754188149835,5.875,9.0,2.3,76.448,1.4058,82.6293563842773
13594,Bolivia,2011,51.923828125,0.286500006914139,10.4,9.88446419823887,23.5,46.1,23963162969.3832,2.2,4.5,9.36407931995113,1.79473996162415,5.3,24.0322399139404,10396246.0,4.81927345790362,64.6162738997523,2.25,10.2,1.07,66.534,0.4671,58.5779991149902
13648,Georgia,2011,95.5943069458008,0.234569996595383,33.3,8.54293333333334,69.0,39.6,15107482383.3798,4.3,12.0,4.72123913842452,27.3010005950928,13.4,30.1727104187012,3756441.0,13.3262700887729,92.3965711104472,19.63,31.3,2.81,72.39,4.5004,98.1364212036133
13739,Niger,2011,8.36524963378906,0.219449996948242,88.3,2.94238514013317,97.7,31.5,8772950783.02414,19.2,43.3,8.30701712086658,0.551569998264313,60.6,1.70499002933502,17283112.0,2.40218891134884,23.4406588654639,0.32,67.2,0.35,58.994,0.0535,13.8695602416992
13750,Pakistan,2011,33.2478218078613,0.462330013513565,51.7,11.9160927116277,89.1,29.7,213587517187.669,1.3,13.3,7.76796887644358,1.63380002975464,9.6,7.36818981170654,198602738.0,3.76591887670753,53.0217057656377,0.8,42.4,0.6,64.648,0.8311,48.3495101928711
13751,Panama,2011,61.490291595459,0.255290001630783,7.3,5.87580249989755,18.3,51.3,34686224300.0,0.7,2.4,12.3599771881362,2.37209010124207,2.5,21.3589096069336,3688674.0,6.62335570993804,69.8754188149835,4.05,7.3,2.27,76.627,1.4976,82.6293563842773
13761,Paraguay,2011,42.6785202026367,0.0525100007653236,12.9,8.25396825396825,32.2,52.3,33737033607.0615,1.6,4.7,12.6445081776989,4.60771989822388,5.0,10.8557195663452,5843939.0,5.15943999068436,69.0770586906766,4.67,13.0,1.36,72.131,1.2774,71.034309387207
13787,Slovak Republic,2011,99.3027725219727,1.06246995925903,0.9,3.91928599146294,3.0,26.5,99922685424.8842,0.2,0.4,5.30436121699577,16.503719329834,0.4,20.6499996185303,5398384.0,12.708990048364,89.637049547929,13.62,1.1,6.05,75.9585365853659,3.2999,99.8702392578125
14381,Belgium,2014,82.3405303955078,0.49465999007225,0.1,0.340002833356965,0.3,28.1,535390200131.009,0.1,0.1,6.20055951618006,13.4917602539063,0.1,31.5528507232666,11209057.0,18.0157189186848,85.9018536923863,8.52,0.1,5.85,81.2878048780488,2.9723,93.8728332519531
14401,Switzerland,2014,97.0206527709961,2.97441005706787,0.0,-0.0132025387515987,0.1,32.5,726537808338.0,0.0,0.0,5.69679930275473,18.1987590789795,0.0,35.6050109863281,8188649.0,17.6841958960604,89.7083775891724,4.83,0.1,4.73,83.1975609756098,4.1171,99.7253799438477
14417,Cyprus,2014,78.9592819213867,0.616890013217926,0.2,-1.35498885446312,0.4,35.6,23225912183.4988,0.1,0.1,4.81592639526197,9.50104999542236,0.1,35.2161903381348,1176995.0,12.3954222405363,90.7245350697746,16.09,0.2,3.42,80.771,2.4993,93.9071578979492
14418,Czechia,2014,99.8154830932617,0.504239976406097,0.1,0.343988589646784,0.8,25.9,209358834156.329,0.0,0.0,4.98468926732941,14.7503499984741,0.0,18.9672508239746,10525347.0,17.6084010720933,89.9278531709988,6.11,0.2,6.68,78.8243902439024,3.9345,99.8542098999023
14419,Germany,2014,96.7991485595703,1.26112997531891,0.2,0.90679400043421,0.2,30.9,3889093051023.45,0.0,0.0,3.94692920225668,10.7488899230957,0.0,24.8727207183838,80982500.0,20.743886196754,91.0462466946146,4.98,0.1,8.23,81.090243902439,4.0846,100.0
14441,France,2014,82.6331634521484,0.712890028953552,0.0,0.507758822937957,0.2,32.3,2855964488590.14,0.0,0.0,6.59523492090918,8.35151958465576,0.0,28.5274600982666,66312067.0,18.6484201991835,86.829738874205,10.29,0.1,6.2,82.719512195122,3.1941,97.5446166992188
14445,United Kingdom,2014,99.8598480224609,0.88425999879837,0.5,1.45112016293279,0.5,33.1,3065223279583.79,0.2,0.3,3.44305898990108,8.78437042236328,0.2,38.9803009033203,64602298.0,17.5812898743289,88.4900017661646,6.11,0.4,2.73,81.3048780487805,2.7149,99.8598480224609
14446,Georgia,2014,96.7086486816406,0.301580011844635,22.0,3.06881210379542,57.0,37.6,17627336228.0536,1.6,6.4,4.50710591601015,27.421989440918,6.1,30.8818302154541,3719414.0,13.8496940439586,92.4565350351342,17.44,22.3,2.89,73.099,4.7754,98.7651824951172
14453,Greece,2014,67.5204162597656,0.540329992771149,2.9,-1.31226096405516,7.7,35.8,235458133124.604,0.8,1.4,3.30112596768081,2.40397000312805,1.5,23.0271892547607,10892413.0,20.522461240682,86.8109194729314,26.49,3.2,4.24,81.3853658536585,5.9717,94.6889190673828
14465,Hungary,2014,96.6406173706055,0.659240007400513,1.1,-0.227566270988384,5.4,30.9,141033843265.669,0.5,0.7,4.54410005508674,8.47980976104736,0.7,20.8776302337646,9866468.0,17.7269259186933,93.3431936021452,7.73,1.7,6.98,75.7634146341463,3.3443,99.5173797607422
14470,Indonesia,2014,47.2939186096191,0.0321299992501736,40.5,6.39492540819922,74.9,40.2,890814755511.291,1.5,11.4,5.04473675290412,0.564450025558472,9.3,8.65480041503906,256229761.0,6.13010307938018,73.0713752539611,4.05,34.3,0.94,69.533,0.2738,76.6004180908203
14479,Israel,2014,88.8317489624023,1.40883994102478,1.2,0.479786761439352,5.5,39.8,314330061977.263,0.2,0.4,4.1685711777156,12.5802602767944,0.5,46.790470123291,8215700.0,10.732317829449,85.6170227148356,5.89,1.6,3.08,82.1536585365854,3.4612,95.5748519897461
14490,"Korea, Rep.",2014,85.7208404541016,0.771870017051697,0.5,1.27477446401322,1.5,31.2,1484318219633.63,0.1,0.2,10.3210205864257,4.44513988494873,0.2,40.3022689819336,50746659.0,12.5359402512469,79.9542233154575,3.08,0.5,11.59,81.7219512195122,2.207,95.5062866210938
14507,Lithuania,2014,93.0639724731445,0.468670010566711,2.7,0.103758009433715,6.3,37.7,48533659592.1728,0.7,1.2,6.91261389981482,13.1971502304077,1.3,29.8839302062988,2932367.0,18.9943162230137,89.6883443365829,10.7,2.5,7.26,74.5170731707317,4.2507,98.7109069824219
14509,Latvia,2014,99.4220123291016,0.584519982337952,1.9,0.620490636732377,7.1,35.1,31386896487.0402,0.4,0.8,5.65483433311722,10.7552900314331,0.8,28.7276401519775,1993782.0,19.6451684925056,91.6897535035995,10.85,2.5,5.66,74.1243902439024,3.1724,99.65399169921875
14514,Moldova,2014,96.1719436645508,0.0829999968409538,0.8,5.0887855462588,19.9,26.8,9399833207.49341,0.0,0.1,6.47492173094629,0.689189970493317,0.0,33.518180847168,2857815.0,10.8985118785958,88.7341249966908,3.73,3.8,5.66,69.031,2.4746,99.2903594970703
14518,Mexico,2014,57.4869689941406,0.0840200036764145,12.0,4.01861608078673,38.3,48.7,1315356131262.48,1.1,3.7,10.1501120910894,1.24433994293213,3.7,14.4319295883179,118755887.0,6.78540884972966,79.8132340601764,4.81,13.6,1.03,74.797,2.2263,78.7838134765625
