,Poverty headcount ratio at $3.65,Poverty headcount ratio at $6.85,Poverty gap at $2.15,Poverty gap at $3.65,Poverty headcount ratio at $2.15,Poverty gap at $6.85
256,0.7,5.6,0.0,0.1,0.1,1.3
257,1.2,2.0,0.9,1.0,1.0,1.3
258,6.4,27.1,0.2,1.6,1.3,8.3
259,0.2,0.4,0.1,0.2,0.1,0.2
260,0.1,3.3,0.0,0.0,0.0,0.6
261,9.2,21.0,2.1,4.1,4.9,9.1
262,11.0,27.1,2.0,4.5,5.3,11.2
263,0.0,0.1,0.0,0.0,0.0,0.0
264,3.1,12.9,0.4,1.0,1.2,4.1
265,0.1,0.1,0.0,0.0,0.0,0.0
266,0.1,0.5,0.0,0.0,0.0,0.1
267,0.5,1.0,0.2,0.3,0.2,0.6
268,5.4,25.5,0.3,1.4,1.0,7.5
269,1.1,2.5,0.5,0.7,0.7,1.2
270,0.6,1.3,0.2,0.3,0.3,0.6
271,0.0,0.1,0.0,0.0,0.0,0.0
272,0.5,0.7,0.2,0.3,0.2,0.4
273,20.1,53.9,1.6,6.0,6.2,21.0
274,1.6,5.3,0.4,0.7,0.9,1.8
275,1.5,4.0,0.4,0.6,0.6,1.6
276,29.7,65.3,1.0,7.9,6.6,27.4
277,1.2,4.2,0.2,0.4,0.5,1.4
278,1.8,3.3,1.1,1.3,1.4,1.9
279,1.5,4.5,0.3,0.7,0.8,1.6
280,0.7,17.5,0.0,0.1,0.0,3.3
281,9.2,23.1,1.8,3.8,4.5,9.1
282,0.2,0.3,0.1,0.1,0.2,0.2
283,19.6,68.2,0.3,4.0,2.0,23.5
284,0.3,0.4,0.1,0.1,0.2,0.2
285,0.3,0.6,0.2,0.2,0.3,0.3
286,5.3,14.0,0.8,1.9,2.1,5.5
287,0.6,1.7,0.2,0.3,0.3,0.6
288,0.7,2.3,0.2,0.3,0.4,0.8
289,5.2,21.0,0.2,1.3,1.0,6.7
290,6.7,16.3,1.3,2.9,3.3,6.8
291,9.0,21.7,3.3,4.8,5.4,9.6
292,1.3,2.7,0.1,0.4,0.2,1.1
293,0.0,0.1,0.0,0.0,0.0,0.0
294,0.3,0.8,0.1,0.2,0.2,0.3
295,1.5,10.9,0.0,0.3,0.1,2.8
296,1.5,2.0,1.0,1.1,1.2,1.4
297,0.0,0.4,0.0,0.0,0.0,0.1
298,0.1,0.2,0.1,0.1,0.1,0.1
299,7.7,19.1,1.3,3.0,3.3,7.8
300,10.9,26.7,2.0,4.5,5.3,11.1
301,0.0,0.2,0.0,0.0,0.0,0.1
