,Country Name,Year,"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)",Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population),"Inflation, consumer prices (annual %)",Poverty headcount ratio at $6.85 a day (2017 PPP) (% of population),Gini index,GDP (current US$),Poverty gap at $2.15 a day (2017 PPP) (%),Poverty gap at $3.65 a day (2017 PPP) (%),"Cause of death, by injury (% of total)","Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)",Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),"Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)","Population, total",Population ages 65 and above (% of total population),"Cause of death, by non-communicable diseases (% of total)","Unemployment, total (% of total labor force) (modeled ILO estimate)",Poverty gap at $6.85 a day (2017 PPP) (%),"Hospital beds (per 1,000 people)","Life expectancy at birth, total (years)","Physicians (per 1,000 people)","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)"
13647,United Kingdom,2011,99.8556365966797,0.916410028934479,0.5,3.85611244682819,0.7,33.2,2666403005061.42,0.2,0.2,3.34052925512224,8.57874011993408,0.2,33.0590400695801,63258810.0,16.5976344160848,89.3427633545594,8.04,0.4,2.88,80.9512195121951,2.6603,99.8556365966797
13648,Georgia,2011,95.5943069458008,0.234569996595383,33.3,8.54293333333334,69.0,39.6,15107482383.3798,4.3,12.0,4.72123913842452,27.3010005950928,13.4,30.1727104187012,3756441.0,13.3262700887729,92.3965711104472,19.63,31.3,2.81,72.39,4.5004,98.1364212036133
13667,Hungary,2011,98.2056579589844,0.502839982509613,0.3,3.92992098935075,5.8,29.2,141942264554.475,0.0,0.1,5.51193618971543,7.5486102104187,0.1,20.026969909668,9971727.0,16.7560537671912,92.9856166280788,11.03,1.2,7.19,74.8585365853659,2.9811,99.6455612182617
13681,Israel,2011,85.7394104003906,1.43874001502991,1.5,3.48494919760705,7.0,41.4,266791854430.897,0.2,0.3,5.22801580232753,12.0860500335693,0.2,44.0789909362793,7765800.0,10.1348450195844,86.8961751004377,7.14,2.0,3.14,81.6560975609756,3.5123,95.087043762207
13688,Kyrgyz Republic,2011,95.6928405761719,0.03192999958992,19.3,16.6363262731496,70.6,27.8,6197765941.67975,0.2,3.5,10.1500550943121,15.4475898742676,1.3,17.6226501464844,5514600.0,4.00607996400794,76.9412100012404,3.022,24.0,4.7,69.6024390243903,2.286,97.9721069335938
13716,Moldova,2011,94.3194732666016,0.063740000128746,3.1,7.68725103356187,27.0,30.6,8414351671.7241,0.0,0.5,8.00622148250186,0.56878000497818,0.2,32.8204803466797,2860699.0,10.4296190968524,87.1707665522437,6.68,6.4,6.19,69.192,2.4142,98.9213104248047
13725,Malta,2011,69.7437286376953,0.269030004739761,0.4,2.96298528192878,0.6,29.1,9638733344.35806,0.1,0.2,3.47210436141757,4.2361102104187,0.2,13.4902200698853,416268.0,16.8892582353372,91.2402010522648,6.38,0.3,4.38,80.7463414634146,2.2384,98.0798721313477
13739,Niger,2011,8.36524963378906,0.219449996948242,88.3,2.94238514013317,97.7,31.5,8772950783.02414,19.2,43.3,8.30701712086658,0.551569998264313,60.6,1.70499002933502,17283112.0,2.40218891134884,23.4406588654639,0.32,67.2,0.35,58.994,0.0441,13.8695602416992
13742,Netherlands,2011,89.4312515258789,0.554610013961792,0.2,2.3410701775137,0.4,27.8,905270626332.693,0.1,0.1,4.19336980345435,10.0669403076172,0.1,28.621509552002,16693074.0,15.9042298786598,89.4243499756617,4.98,0.2,3.84,81.2048780487805,3.1243,98.3174133300781
13750,Pakistan,2011,33.2478218078613,0.4762350022792815,51.7,11.9160927116277,89.1,29.7,213587517187.669,1.3,13.3,7.76796887644358,1.6833649873733552,9.6,7.36818981170654,198602738.0,3.76591887670753,53.0217057656377,0.8,42.4,0.6,64.648,0.8311,48.3495101928711
